"","GxE_Ross_Ibarra","GxE_Rellan_Alvarez","observed","permuted","pval","FDR","significant"
"cob_wt-LPC_PC_309","cob_wt","LPC_PC_309",108,40.4095,9.99900009999e-05,0.0027997200279972,"*"
"DTA-LPC_PC_309","DTA","LPC_PC_309",60,28.822,9.99900009999e-05,0.0027997200279972,"*"
"DTA-PC_35_2","DTA","PC_35_2",34,16.9054,0.0002999700029997,0.0041995800419958,"*"
"grain_wt-PC_35_2","grain_wt","PC_35_2",41,22.8846,0.0002999700029997,0.0041995800419958,"*"
"field_wt-PC_36_4_A","field_wt","PC_36_4_A",5,0.8448,0.0020997900209979,0.0195980401959804,"*"
"field_wt-PC_TG_1680","field_wt","PC_TG_1680",5,0.8448,0.0020997900209979,0.0195980401959804,"*"
"DTA-PC_36_5_A","DTA","PC_36_5_A",6,1.6704,0.0070992900709929,0.0567943205679432,NA
"field_wt-LPC_PC","field_wt","LPC_PC",6,1.7449,0.0083991600839916,0.0587941205879412,NA
"DTA-PCs","DTA","PCs",7,2.4404,0.0105989401059894,0.0659489606594896,NA
"DTA-PC_34_3","DTA","PC_34_3",6,2.3991,0.0337966203379662,0.189261073892611,NA
"grain_wt-PC_34_3","grain_wt","PC_34_3",6,3.2456,0.112088791120888,0.570633845706338,NA
"field_wt-PCs","field_wt","PCs",4,2.0332,0.148385161483852,0.692464086924641,NA
"grain_wt-PC_36_5_A","grain_wt","PC_36_5_A",4,2.2495,0.192480751924808,0.829147854445325,NA
"grain_wt-PCs","grain_wt","PCs",5,3.3011,0.241675832416758,0.863197890737242,NA
"field_wt-PC_36_5_B","field_wt","PC_36_5_B",4,2.5579,0.252774722527747,0.863197890737242,NA
"grain_wt-LPC_18_2","grain_wt","LPC_18_2",3,1.7696,0.264973502649735,0.863197890737242,NA
"grain_wt-LPCs","grain_wt","LPCs",3,1.7696,0.264973502649735,0.863197890737242,NA
"field_wt-LPC_18_2","field_wt","LPC_18_2",2,1.088,0.292870712928707,0.863197890737242,NA
"field_wt-LPCs","field_wt","LPCs",2,1.088,0.292870712928707,0.863197890737242,NA
"cob_wt-PC_36_5_A","cob_wt","PC_36_5_A",3,2.3317,0.412558744125587,1,NA
"cob_wt-PC_36_4_A","cob_wt","PC_36_4_A",2,1.4286,0.423057694230577,1,NA
"cob_wt-PC_TG_1680","cob_wt","PC_TG_1680",2,1.4286,0.423057694230577,1,NA
"cob_wt-PC_34_3","cob_wt","PC_34_3",4,3.3686,0.434156584341566,1,NA
"cob_wt-PCs","cob_wt","PCs",4,3.4198,0.445755424457554,1,NA
"cob_wt-PC_35_2","cob_wt","PC_35_2",24,23.7275,0.507249275072493,1,NA
"grain_wt-LPC_PC","grain_wt","LPC_PC",3,2.8494,0.541745825417458,1,NA
"cob_wt-LPC_PC","cob_wt","LPC_PC",3,2.9554,0.561743825617438,1,NA
"field_wt-DTA","field_wt","DTA",12,12.3149,0.573742625737426,1,NA
"field_wt-PC_34_3","field_wt","PC_34_3",2,1.9988,0.597440255974403,1,NA
"DTA-PC_36_4_A","DTA","PC_36_4_A",1,1.0152,0.636036396360364,1,NA
"DTA-PC_TG_1680","DTA","PC_TG_1680",1,1.0152,0.636036396360364,1,NA
"cob_wt-DTS","cob_wt","DTS",9,10.2945,0.708129187081292,1,NA
"grain_wt-PC_36_4_A","grain_wt","PC_36_4_A",1,1.3789,0.745825417458254,1,NA
"grain_wt-PC_TG_1680","grain_wt","PC_TG_1680",1,1.3789,0.745825417458254,1,NA
"cob_wt-DTA","cob_wt","DTA",17,20.7197,0.826317368263174,1,NA
"cob_wt-LPC_18_2","cob_wt","LPC_18_2",1,1.8357,0.837416258374163,1,NA
"cob_wt-LPCs","cob_wt","LPCs",1,1.8357,0.837416258374163,1,NA
"DTA-DTS","DTA","DTS",5,7.3273,0.857314268573143,1,NA
"DTA-PC_36_5_B","DTA","PC_36_5_B",1,3.059,0.954504549545045,1,NA
"grain_wt-DTA","grain_wt","DTA",13,19.9842,0.962403759624038,1,NA
"DTA-DTA","DTA","DTA",7,14.7227,0.991000899910009,1,NA
"grain_wt-LPC_PC_309","grain_wt","LPC_PC_309",26,38.9515,0.991200879912009,1,NA
"DTA-TG_52_4","DTA","TG_52_4",2,9.8749,0.999100089991001,1,NA
"field_wt-PC_35_2","field_wt","PC_35_2",5,14.1276,0.999200079992001,1,NA
"grain_wt-TG_52_4","grain_wt","TG_52_4",4,13.3786,0.999300069993001,1,NA
"field_wt-LPC_PC_309","field_wt","LPC_PC_309",8,24.0715,0.999900009999,1,NA
"cob_wt-PC_36_5_B","cob_wt","PC_36_5_B",0,4.2724,1,1,NA
"cob_wt-TG_52_4","cob_wt","TG_52_4",0,13.8738,1,1,NA
"DTA-LPC_18_2","DTA","LPC_18_2",0,1.3033,1,1,NA
"DTA-LPC_PC","DTA","LPC_PC",0,2.0964,1,1,NA
"DTA-LPCs","DTA","LPCs",0,1.3033,1,1,NA
"field_wt-DTS","field_wt","DTS",0,6.1272,1,1,NA
"field_wt-PC_36_5_A","field_wt","PC_36_5_A",0,1.3911,1,1,NA
"field_wt-TG_52_4","field_wt","TG_52_4",0,8.2428,1,1,NA
"grain_wt-DTS","grain_wt","DTS",1,9.9311,1,1,NA
"grain_wt-PC_36_5_B","grain_wt","PC_36_5_B",0,4.1204,1,1,NA
